* Project:       Karaj-Data-Assimilation
* File content:  soil heat conductivity and capacity
* File name:     heatparam.csv
* Model version: Swap 3.2.87
* Generated at:  16-Sep-2026 17:00:59
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.08757,   0.18E+01,   0.13E+04
   1, 0.10131,   0.18E+01,   0.13E+04
   1, 0.11505,   0.19E+01,   0.14E+04
   1, 0.12879,   0.19E+01,   0.14E+04
   1, 0.14254,   0.20E+01,   0.14E+04
   1, 0.15628,   0.21E+01,   0.14E+04
   1, 0.17002,   0.21E+01,   0.15E+04
   1, 0.18376,   0.22E+01,   0.15E+04
   1, 0.19751,   0.22E+01,   0.15E+04
   1, 0.21125,   0.23E+01,   0.15E+04
   1, 0.22499,   0.23E+01,   0.16E+04
   1, 0.23873,   0.24E+01,   0.16E+04
   1, 0.25248,   0.25E+01,   0.16E+04
   1, 0.26622,   0.25E+01,   0.16E+04
   1, 0.27996,   0.26E+01,   0.17E+04
   1, 0.29370,   0.26E+01,   0.17E+04
   1, 0.30745,   0.27E+01,   0.17E+04
   1, 0.32119,   0.27E+01,   0.18E+04
   1, 0.33493,   0.28E+01,   0.18E+04
   1, 0.34867,   0.29E+01,   0.18E+04
   1, 0.36242,   0.29E+01,   0.19E+04
   2, 0.08757,   0.18E+01,   0.13E+04
   2, 0.10131,   0.18E+01,   0.13E+04
   2, 0.11505,   0.19E+01,   0.14E+04
   2, 0.12879,   0.19E+01,   0.14E+04
   2, 0.14254,   0.20E+01,   0.14E+04
   2, 0.15628,   0.21E+01,   0.14E+04
   2, 0.17002,   0.21E+01,   0.15E+04
   2, 0.18376,   0.22E+01,   0.15E+04
   2, 0.19751,   0.22E+01,   0.15E+04
   2, 0.21125,   0.23E+01,   0.15E+04
   2, 0.22499,   0.23E+01,   0.16E+04
   2, 0.23873,   0.24E+01,   0.16E+04
   2, 0.25248,   0.25E+01,   0.16E+04
   2, 0.26622,   0.25E+01,   0.16E+04
   2, 0.27996,   0.26E+01,   0.17E+04
   2, 0.29370,   0.26E+01,   0.17E+04
   2, 0.30745,   0.27E+01,   0.17E+04
   2, 0.32119,   0.27E+01,   0.18E+04
   2, 0.33493,   0.28E+01,   0.18E+04
   2, 0.34867,   0.29E+01,   0.18E+04
   2, 0.36242,   0.29E+01,   0.19E+04
